,H,RBI,AVG,OBP,SLG,OPS,ISO,XBH+
0,163,97,0.293,0.381,0.51,0.89,0.217,0.1362940275650842
1,183,83,0.301,0.344,0.499,0.843,0.198,0.1198786039453717
2,144,87,0.28,0.403,0.547,0.949,0.267,0.0649762282091917
3,175,100,0.304,0.378,0.536,0.914,0.231,0.0950920245398773
5,181,95,0.319,0.368,0.488,0.856,0.169,0.1703470031545741
6,182,69,0.307,0.381,0.434,0.815,0.127,0.144345238095238
7,136,84,0.289,0.388,0.472,0.86,0.183,0.0930232558139534
8,156,101,0.284,0.391,0.511,0.902,0.227,0.0649546827794562
9,134,61,0.289,0.4,0.438,0.838,0.149,0.0812274368231047
10,137,36,0.276,0.327,0.397,0.724,0.121,0.1277777777777777
11,204,109,0.331,0.392,0.514,0.906,0.183,0.1426491994177583
12,173,94,0.299,0.397,0.413,0.81,0.114,0.0835734870317002
13,166,97,0.295,0.328,0.486,0.814,0.19,0.0794701986754966
14,168,90,0.312,0.388,0.521,0.909,0.21,0.1133004926108374
15,136,46,0.274,0.357,0.34,0.697,0.066,0.1024305555555555
16,121,43,0.248,0.339,0.314,0.653,0.066,0.0934744268077601
17,160,97,0.268,0.313,0.471,0.784,0.203,0.1085271317829457
18,154,103,0.274,0.372,0.481,0.853,0.208,0.0895295902883156
19,151,85,0.288,0.333,0.45,0.782,0.162,0.0524475524475524
20,147,63,0.296,0.323,0.435,0.758,0.139,0.0745697896749522
21,141,79,0.254,0.323,0.428,0.751,0.174,0.0175438596491228
22,161,83,0.274,0.32,0.423,0.743,0.15,0.0423197492163009
23,182,63,0.281,0.318,0.382,0.7,0.1,0.1266002844950213
24,180,47,0.282,0.335,0.359,0.694,0.077,0.0987124463519313
25,164,53,0.287,0.337,0.371,0.707,0.084,0.0337078651685393
26,201,105,0.306,0.342,0.441,0.783,0.135,0.1706629055007052
27,131,50,0.284,0.341,0.41,0.751,0.126,0.1042471042471042
28,126,62,0.254,0.346,0.398,0.744,0.145,0.0696864111498257
29,131,36,0.266,0.341,0.32,0.662,0.055,0.089126559714795
30,130,97,0.261,0.35,0.501,0.851,0.24,0.1153846153846153
31,179,43,0.277,0.353,0.369,0.723,0.093,0.0697674418604651
32,173,83,0.281,0.349,0.427,0.776,0.146,0.0768115942028985
33,139,61,0.263,0.306,0.386,0.692,0.123,0.0360205831903945
34,144,86,0.27,0.337,0.436,0.773,0.167,0.0785953177257525
35,149,28,0.286,0.333,0.359,0.692,0.073,0.0622775800711743
36,179,70,0.294,0.344,0.402,0.746,0.108,0.0917159763313609
37,136,34,0.289,0.345,0.37,0.715,0.081,0.1027131782945736
38,171,88,0.3,0.361,0.458,0.818,0.158,0.0953125
39,119,61,0.256,0.36,0.419,0.779,0.163,0.0723327305605786
40,157,68,0.275,0.342,0.377,0.719,0.102,0.0515625
41,172,54,0.271,0.312,0.372,0.683,0.101,0.0844250363901018
42,167,76,0.261,0.308,0.41,0.719,0.15,0.0328102710413694
43,169,52,0.278,0.319,0.379,0.698,0.102,0.0941704035874439
44,139,57,0.269,0.368,0.421,0.789,0.151,0.0742574257425742
45,176,86,0.282,0.301,0.418,0.718,0.136,0.0484848484848484
46,136,60,0.257,0.316,0.36,0.677,0.104,0.0188034188034188
47,132,59,0.248,0.324,0.35,0.674,0.102,0.0776699029126213
48,139,64,0.247,0.279,0.352,0.631,0.105,0.0549084858569051
49,145,104,0.282,0.323,0.45,0.773,0.169,0.0509666080843585
50,131,58,0.276,0.337,0.436,0.773,0.16,0.0209125475285171
51,178,55,0.279,0.314,0.369,0.683,0.091,0.0398818316100443
52,133,50,0.262,0.331,0.379,0.71,0.116,0.0864197530864197
53,128,59,0.239,0.309,0.313,0.623,0.075,0.0198019801980198
54,142,57,0.289,0.346,0.413,0.758,0.124,0.1012891344383057
55,149,39,0.271,0.316,0.319,0.634,0.047,0.0403361344537815
56,124,68,0.261,0.326,0.399,0.725,0.139,0.0244360902255639
57,127,62,0.242,0.274,0.336,0.61,0.094,0.0053667262969588
58,172,54,0.271,0.345,0.338,0.683,0.066,0.1111111111111111
59,143,47,0.26,0.303,0.359,0.662,0.098,0.0218487394957983
60,150,80,0.266,0.33,0.416,0.745,0.149,0.0527156549520766
61,136,70,0.247,0.309,0.367,0.676,0.12,-0.0345394736842105
62,109,99,0.204,0.285,0.432,0.717,0.228,-0.0477759472817133
63,158,44,0.245,0.292,0.315,0.606,0.07,-0.0127478753541076
64,123,29,0.246,0.302,0.305,0.606,0.058,0.0619307832422586
65,177,79,0.286,0.341,0.457,0.798,0.171,0.0947521865889212
67,136,109,0.255,0.399,0.524,0.923,0.27,0.0239162929745889
68,146,79,0.27,0.336,0.444,0.78,0.174,0.1034482758620689
69,189,113,0.299,0.338,0.539,0.877,0.24,0.1446991404011461
70,183,71,0.298,0.393,0.429,0.822,0.132,0.1583333333333333
71,189,92,0.318,0.385,0.463,0.848,0.145,0.0737951807228915
72,174,103,0.298,0.373,0.531,0.904,0.233,0.0647590361445783
73,145,39,0.271,0.371,0.364,0.736,0.093,0.0476947535771065
74,163,53,0.283,0.323,0.399,0.722,0.116,0.1476725521669342
75,145,82,0.277,0.378,0.516,0.894,0.239,0.1227495908346972
76,116,66,0.262,0.363,0.431,0.794,0.169,0.0096339113680154
