,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,WAR,Spd,wRC+,WPA,#NAME?,#NAME?,RE24,REW,pLI,WPA/LI,Clutch,BsR,wSB,Off,AVG+,OBP+,SLG+,ISO+,BABIP+,XBH+,MVP
1,120,448,529,133,65,20,0,48,100,105,69,8,135,5,4,0,14,0.297,0.394,0.663,1.056,0.366,0.316,0.44,54.5,115,7.9,4.6,196,5.15,-8.85,13.99,61.54,6.62,1.08,6.33,-1.54,1.3,1.9,57.9,123,128,170,247,109,0.062381853,0
0,117,442,511,148,83,34,0,31,87,100,61,1,106,3,3,0,5,0.335,0.417,0.622,1.039,0.287,0.38,0.441,53.2,112,6.5,3.5,191,4.68,-7.43,12.12,64.63,6.91,1,5.73,-1.05,2.4,0.4,56.8,137,132,156,185,130,0.090019569,0
3,115,438,489,132,72,33,1,26,61,82,42,3,61,5,4,0,3,0.301,0.366,0.559,0.925,0.258,0.299,0.394,32.4,89,6.5,2.5,158,1.84,-8.66,10.5,27.75,2.88,1.01,2.73,-0.9,-1.5,-1.1,32.1,123,116,140,166,102,0.122699387,0
4,122,475,544,154,95,41,2,16,85,78,58,7,81,5,6,0,10,0.324,0.399,0.52,0.919,0.196,0.359,0.393,35.7,98,5.7,4.8,156,1.92,-7.64,9.56,49.94,5.13,0.9,3.11,-0.98,5.5,0.6,41.5,133,127,130,126,123,0.115808824,0
8,114,437,490,131,77,31,1,22,77,76,50,8,96,1,2,0,7,0.3,0.371,0.526,0.898,0.227,0.34,0.382,27.9,84,5.7,4.4,150,4.14,-7.23,11.38,36.12,3.82,0.97,2.9,1.39,3,0.5,31.9,123,118,132,146,116,0.071428571,0
10,104,429,480,118,63,26,2,27,93,62,42,0,77,6,3,0,11,0.275,0.346,0.534,0.88,0.259,0.277,0.377,25.5,81,5.5,6.5,146,3.07,-7.31,10.38,30.69,3.27,0.92,3.2,0.14,3.2,1.3,29,113,110,134,166,95,0.147916667,0
41,124,482,546,131,89,17,4,21,80,84,50,2,103,8,6,0,13,0.272,0.346,0.454,0.801,0.183,0.302,0.347,16.1,79,5.5,5.9,129,3.77,-7.41,11.18,37.92,4.2,0.92,2.96,1.13,3.7,0.8,22.3,111,110,114,117,104,0.034798535,0
44,125,487,532,141,97,27,1,16,80,69,39,0,138,3,3,0,16,0.29,0.344,0.448,0.792,0.158,0.372,0.345,14.8,76,5.1,5.1,119,0.89,-8.62,9.51,18.39,1.69,0.89,1.25,-0.25,3.6,0.2,15.4,119,109,112,102,127,-0.026315789,0
12,117,449,505,126,62,37,4,23,68,100,47,8,51,4,5,0,14,0.281,0.35,0.535,0.885,0.254,0.271,0.373,25.2,83,5,5.6,147,2.03,-8.22,10.25,38.92,4.05,0.99,2.47,-0.42,4.2,0.4,30.6,116,114,137,171,94,0.16039604,0
22,122,497,539,153,101,32,2,18,77,85,32,1,98,2,6,0,20,0.308,0.348,0.489,0.837,0.181,0.349,0.36,21.4,83,4.9,5.8,134,2.71,-8.29,11,25.54,2.7,0.94,2.35,0.54,3.6,2.6,25.4,126,110,122,116,120,0.057513915,0
2,105,365,437,108,59,16,2,31,77,79,62,7,88,4,6,0,1,0.296,0.398,0.605,1.004,0.31,0.306,0.42,38.2,88,4.7,3.4,181,4.23,-5.86,10.08,30.2,3.27,0.93,4.79,-0.22,-1,-0.7,38.6,122,129,155,209,106,0.086956522,0
7,106,424,463,127,69,32,1,25,68,64,31,8,83,7,1,0,2,0.3,0.356,0.557,0.913,0.257,0.322,0.386,28,81,4.6,3.1,151,2.62,-7.07,9.69,31.96,3.32,0.93,2.97,-0.15,0.9,-0.4,27.3,124,115,143,173,111,0.09287257,0
9,109,359,404,111,74,20,2,15,49,59,23,1,82,16,2,4,15,0.309,0.375,0.501,0.876,0.192,0.364,0.38,22.5,69,4.6,5.6,152,3.84,-6.38,10.22,33.18,3.53,1.08,2.03,1.54,2.3,1.7,25.8,128,122,129,130,126,0.00990099,0
6,123,481,535,137,70,34,2,31,71,80,39,1,129,12,3,0,2,0.285,0.351,0.557,0.909,0.272,0.327,0.388,33,94,4.5,3.4,148,1.59,-8.6,10.19,19.91,1.87,0.9,2.65,-0.88,-1.3,-0.1,28.6,117,111,139,175,112,0.01682243,0
17,111,396,432,127,85,34,1,7,54,50,27,0,54,7,2,0,2,0.321,0.373,0.465,0.837,0.144,0.356,0.365,19,69,4.5,3.3,141,0.91,-6.35,7.26,17.03,1.89,0.88,1.17,-0.14,3.2,-0.1,24.2,131,118,116,92,122,0.097222222,0
51,105,380,426,102,64,20,5,13,57,59,32,0,90,10,4,0,15,0.268,0.338,0.45,0.788,0.182,0.317,0.343,11.1,60,4.5,7.3,119,0.17,-7.63,7.8,8.44,0.92,1.02,0.58,-0.41,4.4,2.6,14,110,107,113,117,109,0.011737089,0
16,119,429,506,114,62,33,0,19,74,74,65,1,63,7,5,0,1,0.266,0.368,0.476,0.843,0.21,0.27,0.366,22.6,81,4.3,2.2,143,1.63,-7.66,9.29,25.05,2.75,0.9,2.28,-0.48,-1.5,-0.8,22.8,110,119,122,141,93,0.124505929,0
30,117,433,490,129,88,31,0,10,66,50,44,2,97,8,5,0,7,0.298,0.369,0.439,0.808,0.141,0.36,0.353,16.8,73,4.2,3.8,128,-0.2,-8.83,8.63,6.99,0.77,1,0.51,-0.71,3.7,0.4,18.9,123,120,112,95,124,0.020408163,0
57,113,408,463,104,57,30,1,16,53,53,40,2,95,10,4,0,1,0.255,0.333,0.451,0.784,0.196,0.292,0.34,11,64,4.2,2.6,130,0.16,-8.01,8.17,7.54,0.84,0.95,1.65,-1.48,-2,-0.2,13.3,105,108,116,132,101,0.010799136,0
25,92,340,382,76,32,13,3,28,61,51,34,0,116,7,1,0,6,0.224,0.306,0.526,0.833,0.303,0.244,0.356,13.9,58,4,6.5,137,1.42,-6.37,7.79,9.48,1.02,0.94,1.98,-0.47,4.2,0.9,19.9,92,99,135,204,84,-0.028795812,0
58,117,456,515,116,74,15,1,26,68,62,48,7,79,6,5,0,3,0.254,0.33,0.463,0.793,0.208,0.253,0.339,12,71,3.9,3.4,124,1.15,-7.93,9.08,17.45,1.84,0.95,1.81,-0.6,1.7,0.1,15.3,105,107,119,140,87,0.060194175,0
114,119,452,496,114,81,21,3,9,79,43,39,2,90,3,1,1,24,0.252,0.315,0.372,0.687,0.119,0.297,0.303,-2.9,54,3.9,7.4,97,0.07,-8.04,8.1,-0.24,0.01,0.94,0,0.07,6.5,3.1,4.8,103,100,93,77,102,0.044354839,0
34,114,412,465,107,63,21,1,22,55,82,50,2,74,0,2,0,19,0.26,0.338,0.476,0.814,0.216,0.267,0.352,15.4,69,3.8,5,132,2.36,-7.31,9.66,28.68,3.11,0.93,1.06,1.48,3.1,2.5,20,107,110,122,146,92,0.053763441,0
11,106,399,457,111,64,27,0,20,69,44,49,1,67,8,1,0,12,0.278,0.368,0.496,0.864,0.218,0.291,0.375,23.5,76,3.7,4.7,149,1.43,-6.53,7.97,22.79,2.47,0.87,2.09,-0.44,-2.6,1.5,22.4,115,119,127,147,101,0.107221007,0
13,121,462,524,143,100,29,0,14,68,58,53,2,85,6,3,0,0,0.31,0.385,0.463,0.849,0.154,0.352,0.371,25.2,85,3.6,1.4,145,0.68,-8.93,9.61,13.71,1.51,1,1.55,-0.87,-0.9,-0.7,25.6,128,125,119,104,122,0.049618321,0
64,116,451,519,119,79,24,5,11,74,42,48,0,88,15,3,2,0,0.264,0.352,0.412,0.764,0.149,0.304,0.338,11.6,71,3.6,4.1,123,0.87,-7.73,8.6,8.55,0.82,0.87,1.29,-0.3,-1.2,-1.4,12.8,108,112,103,95,104,0.050096339,0
23,105,385,442,104,64,21,1,18,53,73,46,2,70,7,4,0,1,0.27,0.355,0.47,0.825,0.2,0.286,0.358,16.7,67,3.5,2.5,133,1.2,-6.87,8.07,25.63,2.66,0.93,1.74,-0.44,-0.8,-0.3,16.2,111,113,118,129,98,0.052036199,0
38,111,417,484,116,86,18,0,12,71,45,61,0,64,4,2,0,4,0.278,0.374,0.408,0.782,0.129,0.303,0.348,14.7,70,3.5,2.9,131,1.92,-7.79,9.71,27.38,2.96,1.02,1.81,0.08,-3.2,-1,13.4,115,121,104,87,105,0.076446281,0
79,108,381,410,109,81,18,3,7,38,40,23,3,47,5,1,0,14,0.286,0.334,0.404,0.738,0.118,0.311,0.322,3.9,51,3.5,5.6,106,0.46,-7.23,7.69,7.34,0.72,1.02,0.33,0.13,2,2,5,117,106,101,76,107,0.046341463,0
48,106,413,450,112,71,19,3,19,62,63,29,3,122,7,1,0,23,0.271,0.329,0.47,0.799,0.199,0.341,0.344,12.2,64,3.4,6.7,131,2.44,-7.74,10.18,26.75,3,1.08,1.58,0.69,3.4,1.8,19.2,112,107,120,134,118,-0.042222222,0
81,122,455,537,109,71,23,3,12,72,64,59,3,103,15,5,0,2,0.24,0.343,0.382,0.725,0.143,0.281,0.322,5,67,3.4,4.3,110,0.87,-7.86,8.74,22.43,2.29,0.94,0.86,0.07,5.3,-0.2,11.3,98,109,96,92,96,0.013035382,0
5,119,405,517,102,57,20,2,23,76,50,108,4,73,3,0,0,6,0.252,0.413,0.481,0.894,0.23,0.256,0.391,33.4,93,3.3,4,153,1.43,-7.52,8.95,22.7,2.31,0.91,2.58,-1,-3,-0.3,29,103,131,120,148,88,0.092843327,0
24,95,358,407,97,60,16,3,18,64,54,37,1,73,6,4,0,10,0.271,0.346,0.483,0.829,0.212,0.292,0.358,15.4,62,3.3,6.4,136,1.59,-6.91,8.5,17.27,1.79,1.02,1.48,0.07,4.5,1.2,21.1,112,112,124,143,101,0.068796069,0
27,110,353,400,105,74,18,7,6,60,39,44,0,75,0,3,0,7,0.297,0.373,0.439,0.812,0.142,0.36,0.355,14.4,60,3.3,6.5,131,0.73,-6.17,6.9,11.12,1.16,0.93,1.03,-0.24,3.4,0.1,18,122,118,110,91,123,0.04,0
62,115,403,454,95,51,19,1,24,66,62,41,0,124,7,3,0,2,0.236,0.315,0.467,0.781,0.231,0.275,0.339,10.2,62,3.3,3.7,123,0.16,-8.11,8.27,1.36,0.01,0.95,0.7,-0.53,2.1,-0.4,13.7,97,102,120,156,95,-0.030837004,0
61,122,439,514,100,54,21,2,23,60,71,63,0,164,8,4,0,0,0.228,0.333,0.442,0.775,0.214,0.301,0.339,11.8,71,3.3,2.2,128,1.58,-9.24,10.82,15.13,1.66,1.07,0.79,0.68,-2,-0.5,14,94,108,113,144,104,-0.112840467,0
18,102,379,446,94,51,21,2,20,61,52,42,0,93,23,2,0,4,0.248,0.357,0.472,0.829,0.224,0.276,0.363,18.6,70,3.2,4.3,134,-0.02,-8.78,8.76,7.34,0.81,1.05,1.89,-1.91,-1.9,-0.5,15.9,102,113,118,144,95,0.024663677,0
20,108,356,409,106,77,17,0,12,51,47,45,1,44,4,4,0,0,0.298,0.379,0.447,0.826,0.149,0.309,0.362,16.8,64,3.2,1.3,139,1.04,-6.03,7.07,17.44,1.73,0.9,1.77,-0.61,-5.5,-0.5,12.5,123,123,114,100,107,0.08801956,0
15,120,467,520,132,79,27,0,26,70,75,45,5,84,5,3,0,4,0.283,0.35,0.507,0.857,0.225,0.294,0.367,23.5,83,3,2.7,143,1.37,-7.88,9.25,20.74,2.15,0.92,1.64,-0.14,-4.4,-0.5,20.6,117,113,130,152,102,0.075,0
52,120,428,498,96,48,18,1,29,60,71,58,2,94,6,6,0,0,0.224,0.321,0.474,0.796,0.25,0.215,0.342,12.7,70,3,1.9,118,0.66,-9.17,9.83,10.29,1,1.05,0.93,-0.3,0.6,-1.3,11.2,92,102,119,161,74,0.02811245,0
91,100,398,439,88,46,18,0,24,60,70,36,0,118,1,4,0,5,0.221,0.285,0.447,0.732,0.226,0.246,0.316,2,52,3,3.6,101,0.72,-8.36,9.08,4.32,0.45,1.06,0.31,0.37,0.8,-0.1,1.5,91,90,112,145,84,-0.036446469,0
19,109,413,459,134,104,22,1,7,68,40,43,2,35,2,1,0,4,0.324,0.39,0.433,0.823,0.109,0.341,0.362,19,72,2.9,3.4,141,2.04,-6.45,8.49,24.38,2.57,0.94,1.9,0.27,0.7,-1,21.9,134,126,111,73,118,0.137254902,0
59,108,402,455,120,93,19,5,3,63,32,44,1,42,5,3,1,12,0.299,0.372,0.393,0.765,0.095,0.325,0.339,10.5,63,2.9,6,123,0.18,-8.06,8.23,5.09,0.53,1.08,-0.02,0.18,1.3,0.2,12.9,123,121,101,64,112,0.105494505,0
77,119,471,508,120,71,25,4,20,69,77,29,1,143,4,4,0,20,0.255,0.301,0.452,0.753,0.197,0.321,0.324,5.7,64,2.9,6.9,113,3.12,-8.98,12.1,16.84,1.84,1.08,1.46,1.43,5.7,2.4,13,105,98,116,133,111,-0.049212598,0
14,119,438,505,116,66,18,5,27,67,72,60,12,120,4,3,0,11,0.265,0.356,0.514,0.87,0.249,0.303,0.367,22.9,81,2.8,5.2,141,1.13,-7.54,8.67,22.8,2.4,0.91,2.12,-0.87,0.1,-1.5,23.2,110,116,132,168,105,-0.005940594,0
84,118,464,515,123,82,28,2,11,67,49,38,1,92,6,5,1,25,0.265,0.326,0.405,0.731,0.14,0.306,0.32,3.9,63,2.8,5.9,111,0.05,-9.55,9.61,2.74,0.29,1.05,0.74,-0.69,2.7,1.7,8.8,110,105,104,94,106,0.031067961,0
115,114,379,410,89,52,19,6,12,52,43,21,0,115,5,1,2,28,0.235,0.283,0.412,0.695,0.177,0.304,0.302,-2.7,44,2.8,8.7,98,-0.87,-7.87,7,-4.84,-0.45,0.99,-0.35,-0.53,5.8,2.5,4.8,97,92,105,119,105,-0.063414634,0
21,124,463,531,125,72,23,0,30,71,102,50,14,103,10,8,0,3,0.27,0.348,0.514,0.862,0.244,0.281,0.362,21.6,83,2.7,2.6,139,2.02,-8.05,10.07,28.85,3.22,0.95,2.53,-0.4,-2.7,-0.3,21.4,111,110,129,157,96,0.039548023,0
29,107,431,466,127,86,23,4,14,71,56,25,0,91,10,0,0,17,0.295,0.348,0.464,0.812,0.169,0.347,0.354,16.2,70,2.7,6.3,134,2.8,-6.83,9.62,20.48,2.28,0.9,1.8,1.3,0.4,-0.3,18.8,121,110,116,109,119,0.045064378,0
73,117,440,511,108,68,26,2,12,68,47,63,0,74,4,2,2,5,0.245,0.344,0.395,0.739,0.15,0.27,0.329,7.5,66,2.7,4.2,114,-0.6,-8.28,7.68,0.07,0.08,0.95,0.25,-0.88,0.5,0,9.1,101,109,99,96,92,0.066536204,0
35,109,382,451,105,71,27,0,7,55,46,63,0,48,5,1,0,1,0.275,0.384,0.401,0.784,0.126,0.299,0.351,14.7,66,2.6,1.9,137,0.52,-7.56,8.08,20.38,2.14,0.99,1.75,-1.22,-4.3,-1.6,14.4,114,124,103,85,103,0.090909091,0
98,113,400,449,93,56,18,3,16,54,56,38,0,105,5,4,2,8,0.233,0.304,0.413,0.717,0.18,0.272,0.313,1.1,53,2.6,5.1,98,-0.78,-8.44,7.67,2.63,0.27,0.99,0,-0.78,0.8,-0.8,0,95,96,103,116,93,-0.031180401,0
